MainBreedId,SubBreedId,Lifespan,Nature,GrowthTypeId,Lif,Pow,IQ,Ski,Spd,Def,LifGainLvl,PowGainLvl,IQGainLvl,SkiGainLvl,SpdGainLvl,DefGainLvl,ArenaSpeedLvl,FramesPerGut
1,1,300,-45,2,50,80,170,150,140,60,1,2,5,4,4,1,5,7
1,2,280,-60,2,90,110,190,140,120,80,2,3,5,4,3,2,4,12
1,3,300,55,1,70,80,170,150,100,60,2,2,5,4,3,1,4,9
1,7,380,-70,3,50,80,170,100,140,60,2,2,5,3,4,1,5,8
1,8,320,15,3,80,110,150,120,100,130,2,3,4,3,3,3,3,11
1,9,320,-10,1,70,80,130,150,140,90,2,2,4,4,4,2,4,9
1,10,340,-50,4,80,110,140,150,100,130,2,3,4,4,3,3,4,10
1,12,300,55,2,50,80,170,150,140,60,1,2,5,4,4,1,5,8
1,14,300,25,1,70,100,110,150,140,60,2,3,3,4,4,1,4,10
1,16,280,70,1,50,80,170,150,110,60,1,2,5,4,3,2,4,11
1,17,360,-50,3,50,80,170,150,140,60,1,2,5,4,4,1,4,11
1,19,320,-20,1,70,110,130,150,140,60,2,3,4,4,4,1,4,9
1,23,340,-30,1,50,80,100,150,110,130,2,2,3,4,3,3,5,7
1,24,320,-60,2,50,80,170,150,110,60,1,2,5,4,3,1,4,9
1,25,320,-10,3,70,110,170,100,120,80,2,3,5,3,3,2,4,11
1,27,280,-75,4,70,80,170,150,110,60,2,2,5,4,3,1,4,9
1,29,320,-20,1,50,80,170,150,110,60,2,2,5,4,3,2,4,10
1,32,360,-25,2,150,80,170,100,110,60,1,2,5,3,3,1,4,9
1,34,360,40,2,100,80,140,150,110,60,3,2,4,4,3,1,4,7
1,35,280,-40,1,50,80,140,120,110,130,1,2,4,3,3,3,3,11
1,37,300,-5,3,100,80,140,150,110,60,3,2,4,4,3,1,4,10
1,38,280,-70,2,80,120,110,150,130,90,2,3,3,4,3,2,4,9
2,1,270,-55,2,80,130,170,120,100,110,2,4,5,3,3,2,3,14
2,2,250,-70,2,100,170,160,120,90,110,3,5,5,3,2,3,2,19
2,5,270,-5,2,100,170,130,120,90,110,3,5,3,3,2,3,2,17
2,6,270,35,1,100,170,140,120,130,110,3,5,4,3,3,3,2,18
2,8,290,0,3,100,170,140,80,90,130,3,5,4,2,2,4,2,19
2,10,310,-60,4,100,170,140,120,90,130,3,5,4,3,2,4,2,17
2,11,310,-30,1,100,150,140,120,90,130,3,4,4,3,2,4,2,18
2,12,270,40,2,100,140,160,130,90,80,3,4,5,4,3,2,3,15
2,16,250,55,1,100,130,160,120,90,110,3,4,5,3,2,3,2,18
2,17,330,-60,3,100,140,160,120,130,110,3,3,5,3,3,3,2,18
2,19,290,-30,1,100,170,130,120,90,110,3,5,4,3,2,3,2,17
2,23,290,-40,1,70,100,110,140,90,150,3,4,3,4,2,4,3,14
2,27,250,-80,4,100,130,160,140,90,110,3,4,5,4,2,3,2,17
2,35,250,-50,1,100,150,140,120,90,130,3,4,4,3,2,4,2,19
3,1,300,-10,2,70,100,140,160,110,80,2,3,4,5,3,2,4,11
3,2,280,-30,2,90,130,140,120,150,80,3,4,4,4,2,2,3,15
