MonsterTypeId,MainBreedId,SubBreedId,CardNumber,MonsterTypeName,MonsterTypeDescription
1,0,0,1,Pixie,There are many fans though it is spoiled and powerless.
2,0,1,2,Daina,"Because it it of legendary blood, it has high pride."
3,0,2,3,Unico,It is the most earnest monster in the Pixie species.
4,0,6,4,Jilt,It is known that Jilt likes to tease men.
5,0,7,5,Granity,It has a cold atmosphere mabey because of its strong will.
6,0,8,6,Dixie,It likes wild life because it was born in a jungle.
7,0,9,7,Janne,It is brave but its heart is a little bit too delicate to defeat enemies.
8,0,11,8,Mint,It has charming bluish hair and a cute tail.
9,0,13,9,Lepus,"In winter, warm air is held in its fur and keeps it warm."
10,0,15,10,Angel,They say Angel is the most merciful monster of all.
11,0,16,11,Kitten,"A musical, based on Kitten's life has played a long run."
12,0,18,12,Jinnee,It is sloppy by nature and sleeps often.
13,0,22,13,Futurity,Its looks may be what humans look like in the future.
14,0,23,14,Vanity,This name was given by Dr. Maccots when he found it.
15,0,24,15,Snowy,It is mentioned in the legends of some northern countries.
16,0,26,16,Lilim,It can be best described as a little witch.
17,0,28,17,Nagisa,"""Nagisa Skin."" This admiring word is derived from this one."
18,0,31,18,Dryad,This monster is a tree fairy. It inhabits in the forest.
19,0,33,19,Serenity,"In spite of its photosynthesis ability, it loves to eat."
20,0,34,20,Silhouette,It has a shield wrapped around it in the FIMBA area.
21,0,36,21,Night Flyer,Some people consider its beautiful feathers grotesque.
22,0,37,22,Allure,They say that it sucks the life force out of men.
23,0,38,23,Poison,They say it is hysterical. But the truth is unknown.
24,0,39,24,Kasumi,Its breasts tend to get more attention than its battles.
25,0,40,25,Mia,It draws many people's support with its cute charm.
26,1,0,26,Tiamat,"Everybody agrees on its strength, but few agrees on its looks."
27,1,1,27,Dragon,Everybody knows this legendary monster. But few can raise it.
28,1,4,28,Corkasus,It is difficult to find it since it hardly leaves its homeland.
29,1,5,29,Tecno Dragon,They say it was made with all the ancient technologies.
30,1,7,30,Stone Dragon,"It is afraid its destructive power may affect others, and hides in a cave."
31,1,9,31,Armor Dragon,They say it was used by humans for the ancient battles.
32,1,10,32,Crab Dragon,It inhabits the lake and rules that lake.
33,1,11,33,Hound Dragon,It has a habit of hiding things like a dog.
34,1,15,34,Gariel,"Its head is like holography, for it has a kind of deity."
35,1,16,35,Oscerot,This monster keeps a collection of oil pot in his house.
36,1,18,36,Dodongo,This dragon can only be seen in the desert area.
37,1,22,37,Gidras,This dragon has the mysterious power of Metalner.
38,1,26,38,Death Dragon,It is said that this dragon was resurrected by Joker's power.
39,1,34,39,Ragnaroks,They say the ancient culture might have been destroyed by it.
40,1,38,40,Moo,This dreadful looking dragon hardly appears even in legends.
41,2,0,41,Ferious,It has the upper body of a Pixie and the lower body of a horse.
42,2,1,42,Dragoon,This monster is the mixture of a brave Dragon and a just Centaur.
43,2,2,43,Centaur,"This monster is intelligent, just and proud."
44,2,7,44,Trojan,It has stonelike hard skin and a stubborn character.
45,2,9,45,Chariot,It is said that it holds the souls of Durahan and Centaur.
46,2,10,46,Antares,It is expected to function well both in water and on land.
47,2,11,47,Celious,It is a loner and does not like to cluster.
48,2,18,48,Bazoo,"It resides in a harsh location, and has its own values."
49,2,26,49,Reaper,"It was created by Joker, but it even hates him."
50,2,38,50,Trotter,It has an excellent reputation as an excellent runner.
51,2,39,51,Blue Thunder,This tribe is considered to be the descendant of Thor.
52,3,0,52,PeachTreeBug,"It is cute, but you should know that it is a bit too noisy."
53,3,3,53,ColorPandora,"This monster has three wills. Victory, love, and effort."
54,3,28,54,Liquid Cube,It is almost impossible to recognize it in the water.
55,3,38,55,Dice,This monster has strange patterns on its body.
56,3,39,56,Tram,This monster is covered by a house-like pattern.
57,4,1,57,Bethelgeus,"The image of its flying in the sky is called ""Death's Dance."""
58,4,4,58,Beaclon,"It has a strong body and much power. However, its IQ is low."
59,4,5,59,Melcarba,A mechanical monster who was made before Henger.
60,4,7,60,Rocklon,Its rocky body may be hollow inside because it can fly.
61,4,9,61,Centurion,Its body is covered with well-designed solid armor.
62,4,11,62,Sloth Beetle,"It resides in a high mountian region, that is covered in snow."
63,4,18,63,KautRoarKaut,It is used as a means of transportation by some people.
64,4,26,64,Jaggernaut,Its carmine eyes show its wickedness.
65,4,32,65,Ducklon,It has a spring that has to be wound each morning.
66,4,38,66,Eggplantern,It is said that those who waste food are scolded by this monster.
67,5,1,67,Garlant,It is considered to be a phantom monster in the FIMBA area.
68,5,5,68,Henger,Monster's souls in Henger rarely maintain their past memories.
69,5,7,69,Gaia,It is a mechanical monster with a soul from the Golem species.
70,5,8,70,Omega,It is one of the reason why Zuum and Dino are similar.
71,5,15,71,ProtoMessiah,An example of how monsters are not merely 'robots.'
72,5,22,72,Heuy,You will be surprised to see it flying around in the air fast.
73,5,26,73,End Bringer,This mechanical monster's soul has been infused by Joker.
74,5,31,74,Automaton,It is said that it was made as a prortype for Henger.
75,5,34,75,Black Henger,Its black body is an effective camouflage in the night.
76,5,38,76,Skeleton,Its design is a reminder that death is always with us.
77,6,0,77,Baby Doll,This monster is a doll of Pixie with a wicked soul.
78,6,1,78,Draco Doll,The original version of this doll is sold at premium price.
79,6,5,79,Henger Doll,It is a doll of Henger with a wicked soul.
80,6,6,80,Wracky,It carries the grudges of the monsters killed in the battle.
81,6,7,81,Pebbly,This Golem doll is made of stone and is too heavy for children.
82,6,9,82,Petit Knight,It is the most popular doll and is often out of stock.
83,6,18,83,Bakky,"It never used to be bought at the shop, but it has become popular."
84,6,22,84,Metal Glay,This is popular amoung little kids and tends to be their toy.
85,6,26,85,Tricker,"Contrary to its humorous appearance, its nature is rather evil."
86,6,31,86,Mocky,Mention of its cheap-looking makes this monster mad.
87,6,38,87,Dennon,No description.
88,7,0,88,Pink Golem,It is a smart and quiet monster. It doesn't like battle.
89,7,1,89,Tyrant,The wings on its back are to small for it to fly.
90,7,4,90,Strong Horn,"Though it has a large horn, it hardly uses it in battle."
91,7,5,91,Gobi,It is said that this monster was a weapon for the ancient war.
92,7,6,92,Mariomax,It always cares how it looks. It is a little bit self conceited.
93,7,7,93,Golem,"It moves slowly, but its punch is destructive."
94,7,8,94,Scaled Golem,Some ornaments are made out of its green scale.
95,7,9,95,Battle Rocks,It is said that a giant's armor turned into this monster.
96,7,10,96,Dagon,Its hard body can even resist the pressures in the deep ocean.
97,7,11,97,Big Blue,"Its body is made of ice rock, which will not ever melt."
98,7,13,98,Moaigon,Its blue eyes remember the sad history between humans and them.
99,7,14,99,Sleepyhead,It spends most of its time in one place and hardly moves.
100,7,15,100,Amenhotep,It is popular among noblemen because of its beautiful body.
101,7,17,101,Pressure,It cannot float on the water like Zilla. It is too heavy.
102,7,18,102,Dao,It moves each part of its body by using a mysterious magic.
103,7,22,103,Astro,It is said that this monster contains a Metalner in it.
104,7,23,104,Titan,"It loves curry rice, but that is not why its body is yellow."
105,7,26,105,Angolmor,It is a Golem under control of Joker's soul.
106,7,28,106,Poseidon,"Though it wishes to swim the crawl, it is afraid of water."
107,7,31,107,Wood Golem,"Unlike Mock, it rarely changes the expression on its face."
108,7,33,108,Ecologuardia,It is worshipped as God of nature at small shrines in some cities.
109,7,34,109,Black Golem,People cannot do bad things when they think of it watching them.
110,7,36,110,Magna,The patterns on its body is considered to be ancient characters.
111,7,37,111,Marble Guy,"Unlike other Golem monsters, it is rather offensive."
112,7,38,112,New Bottle,No description.
113,8,0,113,FairySaurian,We can ride on its back because it has no wings on its back.
114,8,1,114,Salamander,Its IQ is lower than Dragon's. It is very fast and violent.
115,8,7,115,Rock Saurian,"It can move quicker than its looks, but it is not very smart."
116,8,8,116,Zuum,It's pedigree is considered to be similar to the Dino species.
117,8,10,117,Crab Saurian,It can swim fast in water and it is also a fast runner.
118,8,11,118,HoundSaurian,"It can run fast, so it is often used to deliver express mail."
119,8,13,119,Spot Saurian,"Its character is quiet, but it is brave when protecting animals."
120,8,14,120,Hachiro,It is more intelligent than people think it is.
121,8,15,121,NobleSaurian,It is considered to be a status symbol among noble people.
122,8,16,122,Tasman,This monster believes only in brute stength.
123,8,18,123,Sand Saurian,"Most monsters dislike the desert, but this one does not."
